window,stab__Other,ot__Other,stab__Mobility,ot__Mobility,stab__RadioContext,ot__RadioContext,stab__LTE,ot__LTE,stab__NR,ot__NR,stab__Throughput,ot__Throughput,stab__IRAT,ot__IRAT
37,0.9985341140274369,0.011743322521838365,0.5034497601235115,0.8395454176515142,0.9096761093060532,0.10094742112339336,0.6406953744181708,0.6112039830185135,0.8256419474616964,0.5207987399930041,0.5591345502539281,0.8486128381084828,0.5327817759577156,1.0106226068602164
38,0.9985301895581594,0.012349566891750274,0.5123806001497695,0.8034757196669858,0.9096761093060532,0.08130820889638174,0.7024871525331562,0.6275320160213054,0.8564353413486411,0.43354741440557515,0.5602124626323902,0.9096786841693597,0.5327817759577156,0.9746171453000977
39,0.9985301895581594,0.011049959860177507,0.5188243038041014,1.0404671879408363,0.9096761093060532,0.08413490528055408,0.6551346141541821,0.6412256083566215,0.7901000548169832,0.595210268554262,0.4644493035864793,0.9208892539164714,0.5327817759577156,0.7782514371250416
40,0.9985331329086715,0.014703826910275112,0.5232489815452882,0.7929537183739737,0.9096761093060532,0.07595455510497506,0.5107538909849771,0.8090890496392353,0.8427841589518464,0.3966375787871529,0.3250997865200542,1.5428707970783955,0.5327817759577156,0.9362209204549731
41,0.9985360762678597,0.010249305739156256,0.5361078595726887,0.8272536514013593,0.9096761093060532,0.08444134189556385,0.3975049533888321,0.9114811308783437,0.7522238275940714,0.4814307275238871,0.7260626750171579,0.796872822959672,0.554358739932216,0.8619624940862732
42,0.9985400007602734,0.012062615209789148,0.5509558285504996,0.8564755110220621,0.9096761093060532,0.08232521063504511,0.48612482355848563,0.6824043767395103,0.565012952342149,1.0461544955695166,0.48880124746453224,0.9713849786564854,0.8751219623552855,0.7255899272751106
43,0.9985390196357239,0.01527299808373654,0.5650510743699316,0.915154709993614,0.9096761093060532,0.0853595890198098,0.3534293114113323,1.2324740258922593,0.7467431048436961,0.5323444776618627,0.3162150504845514,1.349482249321691,0.8751219623552855,0.7408705527307483
44,0.9985390196357239,0.015074427922042343,0.575662305743671,0.9536531935039294,0.9096761093060532,0.07854688089603104,0.32733961252992094,1.3067172039917176,0.7568813815707388,0.4819652322473295,0.2032632956429763,1.518879331924687,0.8751219623552855,0.7621008898788141
45,0.998537057389517,0.011746409474932338,0.5813107040240886,0.7876031141682553,0.9096761093060532,0.09373073454049785,0.43691671220977213,1.2211854666027975,0.726091890536936,0.5197948663993868,0.6610781919586155,0.8919330184068226,0.8751219623552855,0.7382414927145642
46,0.9985311706740327,0.011086057035735843,0.5851527992148322,0.7142391963223724,0.9096761093060532,0.09041840169079376,0.6636664503545747,0.6063231235822713,0.7959142568526046,0.4535679739366115,0.5061427453613551,0.8844121946856264,0.8751219623552855,0.7452436616305023
47,0.9985350951471663,0.01067222920115762,0.5881419246222126,0.7823620406634073,0.9096761093060532,0.0788271442623574,0.6122303547949378,0.6591197349478861,0.720775319927971,0.44053162364483545,0.5741534461990202,0.8188836963932914,0.8751219623552855,0.7665036518786942
48,0.9985390196357239,0.01166778471954986,0.5877856551786828,0.7190273041555383,0.9096761093060532,0.07409682825126318,0.6074749979398273,0.5981458833744707,0.7047461705600918,0.536639903538212,0.6075803543060678,0.9186128513779799,0.8751219623552855,0.6900193587948813
49,0.9985331329086715,0.019661244241963804,0.5849355470451177,0.7990903113344348,0.9096761093060532,0.05925732174314815,0.7049760315962472,0.6949207637090418,0.8278242997188624,0.3812544441210788,0.3787267770333068,1.1587088217964883,0.8751219623552855,0.7571385808500841
50,0.9985350951471663,0.010647946366808079,0.5873598015407268,0.8927990170373105,0.9096761093060532,0.07188072595432773,0.7017688727959835,0.605285263073704,0.7590480557879553,0.6294889979901779,0.5201865498409141,0.9236364586818631,0.8751219623552855,0.7173775869910656
51,0.9985458875278144,0.011655089895852606,0.5938990357095097,0.9426024424837385,0.9096761093060532,0.0826267338065927,0.6902030794672541,0.5413879654325104,0.7863236975473847,0.5204761152984494,0.5859638274621602,0.7945464437520282,0.8751219623552855,0.7442837241203751
52,0.9985350951471663,0.015545097498007143,0.598908648433436,1.0559505419209065,0.9096761093060532,0.0898292833574367,0.786389307849952,0.49448315631227596,0.8574256527869367,0.3932627526060969,0.5803710030394761,0.8234886755933152,0.8751219623552855,0.745146597473763
53,0.9985390196357239,0.00919395714571521,0.5952575423130883,0.7247037386478979,0.9096761093060532,0.08345397774259475,0.6712312626874222,0.5156917868433802,0.8273669187769295,0.4224518266749401,0.5376659897740044,0.9035131727564372,0.8751219623552855,0.7583975331367964
54,0.9985350951471663,0.011889088945744,0.5832528543116967,0.7478117503956578,0.9096761093060532,0.08802632898232135,0.5315552779778747,0.5961287764533052,0.7244536329888418,0.42924180040541304,0.5381424196290513,0.9295515230853826,0.8751219623552855,0.6524185965769799
