window,latent_score_mean,latent_score_median,latent_flag_rate
150,8.113175969615657,8.112042254686473,1.0
151,8.129466228706086,8.174392439145471,1.0
152,1.597006182124593,1.5754856366953134,0.77
153,8.243147829556387,8.52345579337376,1.0
154,9.059917134035532,9.060191975792272,1.0
155,12.179151820838213,12.194935210167223,1.0
156,8.054198575108206,8.102705252542165,1.0
157,8.029523676739982,7.983110176576034,1.0
158,11.078502951822323,10.533933367904321,1.0
159,8.16125534414602,8.091714064190096,1.0
160,5.3208487191305895,5.247018081607104,1.0
161,8.313728518264712,8.340194929191181,1.0
162,3.9084812644013884,3.7712872532163697,1.0
163,8.96267455040887,8.989255503832808,1.0
164,0.3722341799380089,0.36361542890708765,0.0
165,0.41750652762070317,0.43307346189613743,0.0
166,0.43071704215044243,0.3966525184466078,0.0
167,0.40313442435282404,0.38519536700061363,0.0
168,0.44140365235641554,0.4172864394417016,0.0
169,0.39857162497454196,0.3733000055433736,0.0
170,0.573835083293016,0.5456475963445526,0.05
171,0.4818519038772295,0.4774925437997488,0.0
172,0.48775256700348474,0.47891350423601,0.0
173,0.4309574779923749,0.4188406375751022,0.0
174,0.49400003422631705,0.4969196348488883,0.0
175,0.43749535611031803,0.4116792536275451,0.0
176,0.466359180426752,0.4366890651920263,0.0
177,0.43483870456750023,0.4282447835325631,0.0
178,0.4963935980498537,0.4602273155604304,0.02
179,0.4455480819459713,0.4286205387783525,0.0
180,0.5612341558461559,0.5498269853050246,0.02
181,0.42929305628786674,0.4188458735398587,0.01
182,0.43561195962989907,0.4308506126007239,0.0
183,0.4795744105479534,0.4609536787682067,0.0
184,0.45929904933072313,0.4499808072500181,0.01
185,0.49638662915803705,0.4932977040758756,0.0
