window,latent_score_mean,latent_score_median,latent_flag_rate
150,0.48106574167623206,0.44692962107063916,0.03
151,0.6229472264258359,0.5851475360384795,0.08
152,0.5352873476749251,0.47238466055174794,0.04
153,0.43414109670296575,0.4048543400218466,0.0
154,0.5553502590943004,0.5354038628704552,0.02
155,0.5733142387857282,0.5076622022363696,0.08
156,0.43129593337096994,0.3926579030414434,0.0
157,0.5411656655814719,0.5282057351852872,0.0
158,0.5614201121420686,0.536518847762882,0.0
159,0.5133329467490323,0.4894413875877581,0.0
160,0.503236428492792,0.47586806920435154,0.01
161,0.550733733270965,0.490131511535985,0.05
162,0.5607204456930368,0.5444513704543548,0.04
163,0.4984153880374443,0.47969034414732936,0.0
164,0.43460852059471494,0.42484148917933334,0.0
165,0.4853831339560453,0.5077631163089154,0.0
166,0.500891586175412,0.4664642118157297,0.0
167,0.4706977513913352,0.4450818462712105,0.0
168,0.5111983017085661,0.4849127802293526,0.0
169,0.46269590569002034,0.429706332261909,0.0
170,0.6629752886409382,0.6266480318970561,0.06
171,0.5575027666227448,0.5500948029675373,0.0
172,0.5702185232178316,0.559405239044465,0.0
173,0.4988581412795031,0.48733388249769893,0.0
174,0.5690179802966049,0.5760948647158224,0.0
175,0.5038800360378788,0.48263585337144993,0.0
176,0.5378348663344691,0.5125085096645362,0.01
177,0.5039529604941104,0.5034964895901894,0.0
178,0.5787483495294896,0.543198533611947,0.05
179,0.518189068383068,0.49138623263362224,0.01
180,0.6497655963677893,0.6322339921311182,0.04
181,0.4945541039940495,0.4866687756173248,0.01
182,0.5047817174782339,0.5021972622501392,0.0
183,0.5588331217743807,0.5358307100130926,0.01
184,0.5343427276720639,0.5255000250645732,0.01
185,0.578615733847388,0.5765061795461641,0.04
